Data,ID_Veiculo,KM Percorridos,ValorAbastecimento,ValorManutencao,CustoFixo,CustoTotal
10/2017,3715,187,R$ 5.27,R$ 2.21,R$ 16.17,R$ 23.64
10/2017,3725,131,R$ 557.29,R$ 244.56,"R$ 1,907.11","R$ 2,708.96"
10/2017,3735,343,R$ 93.91,R$ 44.81,R$ 390.73,R$ 529.45
10/2017,3745,513,"R$ 1,212.22",R$ 605.20,"R$ 3,689.89","R$ 5,507.30"
10/2017,3755,222,R$ 39.66,R$ 18.40,R$ 138.09,R$ 196.15
10/2017,3765,19,R$ 258.55,R$ 94.65,R$ 682.60,"R$ 1,035.80"
10/2017,3775,248,R$ 76.97,R$ 34.58,R$ 235.98,R$ 347.53
10/2017,3785,346,R$ 113.96,R$ 46.78,R$ 479.64,R$ 640.37
10/2017,3795,211,R$ 91.94,R$ 48.64,R$ 284.13,R$ 424.71
10/2017,3805,210,R$ 46.73,R$ 16.58,R$ 166.08,R$ 229.39
10/2017,3815,243,R$ 394.64,R$ 152.71,"R$ 1,111.29","R$ 1,658.65"
10/2017,3825,260,R$ 91.55,R$ 48.87,R$ 326.07,R$ 466.48
10/2017,3835,244,R$ 107.08,R$ 45.67,R$ 415.08,R$ 567.82
10/2017,3845,390,R$ 12.47,R$ 6.26,R$ 37.87,R$ 56.60
10/2017,3855,346,R$ 408.99,R$ 148.98,"R$ 1,366.04","R$ 1,924.01"
10/2017,3865,429,R$ 316.92,R$ 122.64,"R$ 1,006.36","R$ 1,445.92"
10/2017,3875,577,R$ 226.60,R$ 116.74,R$ 977.22,"R$ 1,320.56"
10/2017,3885,497,R$ 388.42,R$ 148.82,"R$ 1,131.18","R$ 1,668.42"
10/2017,3895,514,"R$ 4,967.37","R$ 1,846.59","R$ 11,905.72","R$ 18,719.68"
10/2017,3905,423,R$ 408.65,R$ 163.70,"R$ 1,698.88","R$ 2,271.23"
10/2017,3915,425,R$ 183.32,R$ 78.19,R$ 685.99,R$ 947.50
10/2017,3925,485,R$ 631.69,R$ 329.78,"R$ 1,917.18","R$ 2,878.65"
10/2017,3935,449,R$ 241.27,R$ 91.98,R$ 800.25,"R$ 1,133.50"
10/2017,3945,348,R$ 303.57,R$ 148.85,"R$ 1,307.96","R$ 1,760.38"
10/2017,3955,584,"R$ 1,338.20",R$ 559.96,"R$ 3,668.31","R$ 5,566.47"
10/2017,3965,506,R$ 194.05,R$ 96.88,R$ 618.22,R$ 909.15
10/2017,3975,311,"R$ 1,110.67",R$ 510.75,"R$ 3,801.39","R$ 5,422.81"
10/2017,3985,189,R$ 139.74,R$ 70.72,R$ 486.42,R$ 696.87
10/2017,3995,404,R$ 148.28,R$ 53.19,R$ 594.88,R$ 796.36
10/2017,4005,353,R$ 458.01,R$ 209.64,"R$ 1,650.59","R$ 2,318.24"
10/2017,4015,77,R$ 13.90,R$ 6.04,R$ 46.74,R$ 66.68
10/2017,4025,213,R$ 88.76,R$ 47.17,R$ 253.58,R$ 389.52
10/2017,4035,581,R$ 372.69,R$ 135.76,"R$ 1,070.58","R$ 1,579.02"
10/2017,4045,237,R$ 78.04,R$ 31.25,R$ 187.70,R$ 297.00
10/2017,4055,217,R$ 188.68,R$ 70.85,R$ 455.45,R$ 714.99
10/2017,4065,295,"R$ 1,265.69",R$ 595.62,"R$ 4,981.73","R$ 6,843.04"
10/2017,4075,158,R$ 196.95,R$ 82.42,R$ 528.06,R$ 807.42
10/2017,4085,426,R$ 442.34,R$ 180.68,"R$ 1,214.80","R$ 1,837.82"
10/2017,4095,183,R$ 9.41,R$ 4.81,R$ 34.01,R$ 48.23
10/2017,4105,285,"R$ 1,493.52",R$ 589.50,"R$ 4,287.06","R$ 6,370.08"
10/2017,4115,210,R$ 49.00,R$ 18.49,R$ 116.91,R$ 184.40
10/2017,4125,68,R$ 61.62,R$ 26.66,R$ 172.89,R$ 261.17
10/2017,4135,487,R$ 725.73,R$ 359.07,"R$ 1,808.00","R$ 2,892.80"
10/2017,4145,87,R$ 178.52,R$ 67.72,R$ 723.20,R$ 969.44
10/2017,4155,602,R$ 493.69,R$ 258.89,"R$ 1,860.57","R$ 2,613.15"
10/2017,4165,332,R$ 425.15,R$ 199.15,"R$ 1,862.92","R$ 2,487.22"
10/2017,4175,277,R$ 454.49,R$ 170.67,"R$ 1,202.78","R$ 1,827.94"
10/2017,4185,129,R$ 24.48,R$ 12.34,R$ 73.43,R$ 110.25
10/2017,4195,249,"R$ 1,195.40",R$ 583.47,"R$ 4,713.34","R$ 6,492.20"
10/2017,4205,362,R$ 103.61,R$ 48.08,R$ 282.96,R$ 434.66
10/2017,4215,229,R$ 563.87,R$ 285.33,"R$ 1,536.20","R$ 2,385.41"
10/2017,4225,336,R$ 55.24,R$ 25.40,R$ 225.99,R$ 306.63
10/2017,4235,223,R$ 484.82,R$ 226.07,"R$ 1,483.21","R$ 2,194.10"
10/2017,4245,335,R$ 336.33,R$ 161.93,"R$ 1,053.95","R$ 1,552.22"
10/2017,4255,723,R$ 215.19,R$ 84.93,R$ 872.21,"R$ 1,172.33"
10/2017,4265,504,R$ 51.14,R$ 19.50,R$ 154.35,R$ 225.00
10/2017,4275,618,R$ 212.51,R$ 103.72,R$ 741.40,"R$ 1,057.64"
10/2017,4285,196,R$ 61.24,R$ 31.54,R$ 228.25,R$ 321.04
10/2017,4295,367,R$ 113.40,R$ 50.00,R$ 407.96,R$ 571.37
10/2017,4305,211,R$ 156.58,R$ 83.57,R$ 396.85,R$ 637.00
10/2017,4315,28,R$ 92.15,R$ 43.76,R$ 394.98,R$ 530.89
10/2017,4325,933,"R$ 1,236.91",R$ 634.35,"R$ 4,537.20","R$ 6,408.47"
10/2017,4335,456,"R$ 2,784.82","R$ 1,051.02","R$ 8,302.90","R$ 12,138.74"
10/2017,4345,750,"R$ 16,098.26","R$ 5,893.90","R$ 37,126.56","R$ 59,118.72"
10/2017,4355,451,"R$ 11,578.10","R$ 5,549.26","R$ 30,448.63","R$ 47,575.99"
10/2017,4365,531,"R$ 2,332.76",R$ 980.81,"R$ 6,819.67","R$ 10,133.24"
10/2017,4375,698,"R$ 2,048.24","R$ 1,064.59","R$ 5,857.85","R$ 8,970.68"
10/2017,4385,432,R$ 830.24,R$ 360.92,"R$ 2,202.47","R$ 3,393.63"
10/2017,4395,1085,R$ 870.94,R$ 332.02,"R$ 3,406.09","R$ 4,609.05"
10/2017,4405,715,"R$ 4,162.73","R$ 1,792.53","R$ 16,265.89","R$ 22,221.15"
10/2017,4415,482,R$ 192.32,R$ 72.21,R$ 474.36,R$ 738.89
10/2017,4425,876,R$ 853.06,R$ 351.83,"R$ 2,016.76","R$ 3,221.65"
10/2017,4435,595,"R$ 1,182.08",R$ 563.98,"R$ 3,727.49","R$ 5,473.54"
10/2017,4445,558,"R$ 1,348.52",R$ 707.15,"R$ 4,230.81","R$ 6,286.49"
10/2017,4455,867,"R$ 1,328.17",R$ 696.49,"R$ 3,860.95","R$ 5,885.60"
10/2017,4465,914,"R$ 1,640.55",R$ 793.51,"R$ 7,148.85","R$ 9,582.90"
10/2017,4475,628,R$ 448.01,R$ 171.65,"R$ 1,068.79","R$ 1,688.46"
10/2017,4485,202,R$ 187.81,R$ 72.32,R$ 550.26,R$ 810.39
10/2017,4495,1055,"R$ 5,458.26","R$ 2,060.00","R$ 22,198.19","R$ 29,716.46"
10/2017,4505,394,"R$ 1,877.96",R$ 883.75,"R$ 4,888.45","R$ 7,650.16"
10/2017,4515,352,R$ 784.13,R$ 303.44,"R$ 2,537.65","R$ 3,625.22"
10/2017,4525,500,"R$ 9,031.43","R$ 4,269.64","R$ 26,285.43","R$ 39,586.50"
10/2017,4535,956,"R$ 11,852.32","R$ 5,706.67","R$ 31,351.84","R$ 48,910.82"
10/2017,4545,1565,"R$ 1,165.01",R$ 571.23,"R$ 5,019.55","R$ 6,755.78"
10/2017,4555,506,"R$ 2,557.58",R$ 912.67,"R$ 9,876.86","R$ 13,347.11"
10/2017,4565,272,R$ 64.75,R$ 31.74,R$ 267.64,R$ 364.13
10/2017,4575,514,R$ 276.51,R$ 139.30,"R$ 1,189.59","R$ 1,605.39"
10/2017,4585,429,R$ 132.23,R$ 66.61,R$ 380.88,R$ 579.73
10/2017,4595,367,R$ 637.98,R$ 225.33,"R$ 1,438.85","R$ 2,302.16"
10/2017,4605,322,R$ 373.73,R$ 194.25,"R$ 1,258.31","R$ 1,826.29"
10/2017,4615,136,R$ 962.00,R$ 458.98,"R$ 2,570.54","R$ 3,991.51"
10/2017,4625,948,"R$ 1,316.78",R$ 622.52,"R$ 5,695.75","R$ 7,635.05"
10/2017,4635,569,"R$ 1,795.15",R$ 694.65,"R$ 4,464.94","R$ 6,954.74"
10/2017,4645,1776,"R$ 1,045.79",R$ 526.82,"R$ 3,740.27","R$ 5,312.87"
10/2017,4655,838,R$ 720.80,R$ 300.17,"R$ 1,846.92","R$ 2,867.90"
10/2017,4665,336,R$ 369.14,R$ 155.20,"R$ 1,289.99","R$ 1,814.33"
10/2017,4675,881,"R$ 2,451.96","R$ 1,274.42","R$ 11,060.85","R$ 14,787.23"
10/2017,4685,1085,"R$ 1,494.68",R$ 722.95,"R$ 5,351.07","R$ 7,568.69"
10/2017,4695,823,"R$ 4,379.35","R$ 1,867.94","R$ 15,985.05","R$ 22,232.34"
10/2017,4705,419,"R$ 2,343.11",R$ 929.39,"R$ 6,735.15","R$ 10,007.65"
10/2017,4715,1116,"R$ 1,346.95",R$ 684.66,"R$ 5,047.18","R$ 7,078.79"
10/2017,4725,872,"R$ 7,075.60","R$ 2,779.00","R$ 17,144.29","R$ 26,998.89"
10/2017,4735,451,"R$ 3,244.15","R$ 1,701.20","R$ 8,985.21","R$ 13,930.56"
10/2017,4745,627,"R$ 3,502.66","R$ 1,733.00","R$ 11,024.17","R$ 16,259.84"
10/2017,4755,330,R$ 341.43,R$ 174.33,"R$ 1,051.90","R$ 1,567.66"
10/2017,4765,563,R$ 944.10,R$ 356.31,"R$ 3,625.40","R$ 4,925.82"
10/2017,4775,352,R$ 101.47,R$ 42.67,R$ 387.74,R$ 531.89
10/2017,4785,598,R$ 444.67,R$ 158.68,"R$ 1,744.27","R$ 2,347.62"
10/2017,4795,425,R$ 446.47,R$ 166.81,"R$ 1,791.78","R$ 2,405.06"
10/2017,4805,681,"R$ 1,064.81",R$ 379.97,"R$ 4,069.69","R$ 5,514.47"
10/2017,4815,1024,"R$ 4,853.79","R$ 1,906.37","R$ 14,906.99","R$ 21,667.14"
10/2017,4825,1559,"R$ 1,811.80",R$ 802.63,"R$ 7,032.93","R$ 9,647.36"
10/2017,4835,810,R$ 591.56,R$ 259.60,"R$ 2,526.47","R$ 3,377.63"
10/2017,4845,1287,"R$ 1,670.21",R$ 760.96,"R$ 5,238.16","R$ 7,669.33"
10/2017,4855,418,"R$ 2,131.08","R$ 1,127.45","R$ 5,407.77","R$ 8,666.29"
10/2017,4865,1114,"R$ 1,685.94",R$ 880.18,"R$ 6,664.52","R$ 9,230.63"
10/2017,4875,274,R$ 50.26,R$ 25.21,R$ 214.79,R$ 290.26
10/2017,4885,719,"R$ 4,428.86","R$ 2,181.37","R$ 18,716.32","R$ 25,326.55"
10/2017,4895,775,R$ 696.64,R$ 368.56,"R$ 2,049.45","R$ 3,114.65"
10/2017,4905,896,"R$ 3,085.92","R$ 1,526.81","R$ 7,956.03","R$ 12,568.77"
10/2017,4915,1400,"R$ 1,168.97",R$ 419.30,"R$ 3,210.13","R$ 4,798.40"
10/2017,4925,828,R$ 755.71,R$ 372.20,"R$ 2,558.08","R$ 3,685.99"
10/2017,4935,1104,"R$ 5,315.28","R$ 2,332.61","R$ 15,318.76","R$ 22,966.65"
10/2017,4945,883,"R$ 1,383.10",R$ 606.97,"R$ 4,077.21","R$ 6,067.28"
10/2017,4955,736,R$ 720.19,R$ 287.07,"R$ 2,328.03","R$ 3,335.29"
10/2017,4965,627,"R$ 2,884.50","R$ 1,248.02","R$ 9,781.69","R$ 13,914.21"
10/2017,4975,132,R$ 172.37,R$ 66.04,R$ 477.51,R$ 715.92
10/2017,4985,774,R$ 310.27,R$ 156.30,"R$ 1,300.71","R$ 1,767.28"
10/2017,4995,973,"R$ 1,093.16",R$ 414.65,"R$ 4,118.37","R$ 5,626.18"
10/2017,5005,615,"R$ 1,983.88",R$ 711.62,"R$ 7,178.12","R$ 9,873.63"
10/2017,5015,121,"R$ 1,023.22",R$ 464.02,"R$ 2,510.72","R$ 3,997.95"
10/2017,5025,1670,"R$ 6,131.08","R$ 2,741.68","R$ 19,384.43","R$ 28,257.18"
10/2017,5035,1352,"R$ 4,823.13","R$ 2,451.58","R$ 16,893.74","R$ 24,168.45"
10/2017,5045,55,R$ 134.71,R$ 71.27,R$ 568.39,R$ 774.37
10/2017,5055,456,"R$ 1,393.50",R$ 550.02,"R$ 3,500.53","R$ 5,444.05"
10/2017,5065,828,"R$ 1,835.89",R$ 775.61,"R$ 5,184.02","R$ 7,795.52"
10/2017,5075,766,"R$ 1,482.17",R$ 647.39,"R$ 3,534.16","R$ 5,663.71"
10/2017,5085,849,R$ 824.92,R$ 325.60,"R$ 3,326.22","R$ 4,476.74"
10/2017,5095,1043,R$ 377.96,R$ 164.30,"R$ 1,007.05","R$ 1,549.31"
10/2017,5105,409,"R$ 1,451.73",R$ 658.34,"R$ 3,718.85","R$ 5,828.91"
10/2017,5115,743,"R$ 23,695.99","R$ 10,646.02","R$ 75,376.90","R$ 109,718.91"
10/2017,5145,117,R$ 36.11,R$ 15.32,R$ 99.42,R$ 150.85
10/2017,5155,175,R$ 131.18,R$ 64.02,R$ 342.54,R$ 537.74
10/2017,5175,117,R$ 22.04,R$ 9.01,R$ 82.70,R$ 113.75
10/2017,5185,117,R$ 128.57,R$ 60.79,R$ 389.70,R$ 579.05
10/2017,5195,117,R$ 40.22,R$ 16.18,R$ 161.36,R$ 217.76
10/2017,5205,117,R$ 730.96,R$ 314.77,"R$ 2,284.62","R$ 3,330.35"
10/2017,5215,58,R$ 70.65,R$ 25.21,R$ 248.97,R$ 344.84
10/2017,5235,58,R$ 37.32,R$ 14.08,R$ 86.03,R$ 137.43
10/2017,5255,58,R$ 3.61,R$ 1.93,R$ 12.73,R$ 18.26
10/2017,5275,117,R$ 57.34,R$ 23.42,R$ 201.61,R$ 282.37
10/2017,5285,117,R$ 65.22,R$ 26.51,R$ 224.57,R$ 316.29
10/2017,5305,117,R$ 85.95,R$ 35.10,R$ 207.91,R$ 328.97
10/2017,5315,58,R$ 58.61,R$ 23.60,R$ 151.32,R$ 233.52
10/2017,5325,117,R$ 43.46,R$ 18.02,R$ 175.90,R$ 237.38
10/2017,5335,58,R$ 49.86,R$ 25.80,R$ 163.78,R$ 239.44
10/2017,5345,58,R$ 38.41,R$ 19.10,R$ 106.79,R$ 164.30
10/2017,5355,117,"R$ 1,101.16",R$ 474.18,"R$ 3,198.39","R$ 4,773.73"
10/2017,5375,175,R$ 32.49,R$ 15.93,R$ 132.92,R$ 181.35
10/2017,5395,58,R$ 9.37,R$ 4.29,R$ 39.08,R$ 52.75
10/2017,5405,233,R$ 264.86,R$ 140.13,R$ 822.25,"R$ 1,227.24"
10/2017,5415,58,R$ 17.30,R$ 6.60,R$ 66.31,R$ 90.21
10/2017,5435,58,R$ 36.20,R$ 14.01,R$ 144.42,R$ 194.63
10/2017,5455,117,R$ 819.75,R$ 344.66,"R$ 3,348.84","R$ 4,513.26"
10/2017,5465,117,R$ 83.09,R$ 31.99,R$ 252.58,R$ 367.66
10/2017,5495,58,R$ 52.14,R$ 21.92,R$ 165.62,R$ 239.68
10/2017,5505,117,R$ 330.84,R$ 144.51,"R$ 1,222.31","R$ 1,697.65"
10/2017,5515,58,R$ 26.97,R$ 10.08,R$ 72.89,R$ 109.93
10/2017,5525,117,R$ 480.99,R$ 237.97,"R$ 1,371.04","R$ 2,090.00"
10/2017,5535,117,R$ 187.44,R$ 93.16,R$ 590.81,R$ 871.41
10/2017,5545,58,R$ 428.32,R$ 202.49,"R$ 1,246.59","R$ 1,877.39"
10/2017,5555,117,R$ 267.80,R$ 143.56,"R$ 1,189.25","R$ 1,600.61"
10/2017,5575,58,R$ 47.33,R$ 20.78,R$ 115.47,R$ 183.58
10/2017,5595,58,R$ 9.61,R$ 4.97,R$ 41.51,R$ 56.10
10/2017,5615,58,R$ 24.21,R$ 11.72,R$ 77.04,R$ 112.97
10/2017,5645,117,"R$ 1,237.13",R$ 548.05,"R$ 5,002.58","R$ 6,787.76"
10/2017,5655,58,R$ 62.26,R$ 23.50,R$ 165.00,R$ 250.76
10/2017,5665,58,R$ 52.09,R$ 19.66,R$ 170.64,R$ 242.39
10/2017,5695,58,R$ 18.82,R$ 8.86,R$ 75.23,R$ 102.91
10/2017,5705,175,R$ 24.27,R$ 12.55,R$ 83.09,R$ 119.91
10/2017,5715,58,R$ 643.32,R$ 290.38,"R$ 1,878.65","R$ 2,812.35"
10/2017,5725,58,R$ 0.47,R$ 0.19,R$ 1.40,R$ 2.06
10/2017,5735,58,R$ 370.93,R$ 150.77,"R$ 1,289.74","R$ 1,811.44"
10/2017,5745,58,R$ 37.07,R$ 19.61,R$ 101.65,R$ 158.33
10/2017,5755,175,R$ 53.72,R$ 19.98,R$ 192.36,R$ 266.06
10/2017,5765,58,R$ 0.51,R$ 0.18,R$ 1.68,R$ 2.37
10/2017,5775,117,R$ 42.72,R$ 17.71,R$ 138.37,R$ 198.80
10/2017,5785,175,R$ 327.66,R$ 131.89,R$ 769.19,"R$ 1,228.73"
10/2017,5815,117,R$ 374.31,R$ 165.04,"R$ 1,167.47","R$ 1,706.83"
10/2017,5835,117,R$ 27.64,R$ 11.30,R$ 72.00,R$ 110.94
10/2017,5845,58,R$ 39.49,R$ 16.20,R$ 112.55,R$ 168.25
10/2017,5855,58,R$ 62.72,R$ 33.19,R$ 168.31,R$ 264.22
10/2017,5865,58,R$ 22.09,R$ 11.85,R$ 58.77,R$ 92.71
10/2017,5885,58,R$ 29.72,R$ 14.06,R$ 94.33,R$ 138.11
10/2017,5895,117,R$ 60.58,R$ 24.75,R$ 176.41,R$ 261.73
10/2017,5905,233,R$ 608.01,R$ 311.83,"R$ 1,607.19","R$ 2,527.03"
10/2017,5915,58,R$ 705.97,R$ 250.64,"R$ 1,730.48","R$ 2,687.08"
10/2017,5945,58,R$ 11.53,R$ 4.50,R$ 37.58,R$ 53.60
10/2017,5955,58,R$ 16.78,R$ 6.12,R$ 50.01,R$ 72.90
10/2017,5965,117,R$ 150.36,R$ 66.92,R$ 429.39,R$ 646.67
10/2017,5975,175,R$ 336.96,R$ 153.53,"R$ 1,248.82","R$ 1,739.31"
10/2017,5985,117,R$ 552.11,R$ 284.43,"R$ 1,467.97","R$ 2,304.51"
10/2017,5995,58,R$ 91.05,R$ 41.67,R$ 269.46,R$ 402.17
10/2017,6005,117,R$ 78.60,R$ 28.05,R$ 306.71,R$ 413.36
10/2017,6015,58,R$ 13.41,R$ 5.08,R$ 34.51,R$ 53.00
10/2017,6035,58,R$ 19.98,R$ 10.33,R$ 70.73,R$ 101.04
10/2017,6045,233,R$ 287.78,R$ 134.81,R$ 967.51,"R$ 1,390.09"
10/2017,6065,58,R$ 6.27,R$ 3.31,R$ 17.72,R$ 27.30
10/2017,6075,181,R$ 125.22,R$ 47.50,R$ 365.34,R$ 538.06
10/2017,6085,117,R$ 10.74,R$ 3.99,R$ 30.86,R$ 45.58
10/2017,6095,432,R$ 590.64,R$ 300.22,"R$ 2,191.71","R$ 3,082.56"
10/2017,6105,530,R$ 174.15,R$ 66.40,R$ 523.09,R$ 763.64
10/2017,6115,243,"R$ 1,670.55",R$ 726.23,"R$ 6,255.85","R$ 8,652.63"
10/2017,6125,371,R$ 597.34,R$ 283.70,"R$ 1,764.72","R$ 2,645.75"
10/2017,6135,415,R$ 351.49,R$ 133.33,R$ 908.35,"R$ 1,393.16"
10/2017,6145,260,R$ 565.34,R$ 212.29,"R$ 1,667.75","R$ 2,445.38"
10/2017,6165,224,R$ 804.86,R$ 405.45,"R$ 2,228.06","R$ 3,438.37"
10/2017,6175,281,R$ 792.24,R$ 411.77,"R$ 2,667.41","R$ 3,871.43"
10/2017,6185,272,R$ 506.67,R$ 255.24,"R$ 2,028.96","R$ 2,790.86"
10/2017,6195,231,R$ 144.68,R$ 58.52,R$ 385.78,R$ 588.97
10/2017,6205,301,R$ 398.75,R$ 168.46,R$ 999.66,"R$ 1,566.87"
10/2017,6215,234,"R$ 1,496.54",R$ 802.29,"R$ 4,158.54","R$ 6,457.36"
10/2017,6225,218,R$ 66.28,R$ 29.23,R$ 237.27,R$ 332.78
10/2017,6235,137,R$ 70.65,R$ 26.26,R$ 270.15,R$ 367.06
10/2017,6245,348,R$ 412.98,R$ 166.24,"R$ 1,230.84","R$ 1,810.06"
10/2017,6255,548,"R$ 1,369.67",R$ 629.85,"R$ 4,171.83","R$ 6,171.35"
10/2017,6265,350,"R$ 4,242.57","R$ 2,127.66","R$ 10,708.11","R$ 17,078.33"
10/2017,6275,117,R$ 231.86,R$ 107.12,R$ 688.22,"R$ 1,027.19"
10/2017,6285,94,R$ 1.91,R$ 0.82,R$ 5.45,R$ 8.19
10/2017,6305,296,"R$ 3,612.06","R$ 1,418.66","R$ 9,425.37","R$ 14,456.09"
10/2017,6315,339,"R$ 1,665.98",R$ 664.06,"R$ 4,018.87","R$ 6,348.91"
10/2017,6325,578,R$ 622.74,R$ 285.04,"R$ 2,405.30","R$ 3,313.08"
10/2017,6345,331,R$ 99.25,R$ 52.28,R$ 317.60,R$ 469.13
10/2017,6355,327,"R$ 2,410.57","R$ 1,013.53","R$ 6,889.46","R$ 10,313.56"
10/2017,6365,211,R$ 630.47,R$ 307.72,"R$ 1,689.80","R$ 2,627.99"
10/2017,6375,42,R$ 51.48,R$ 27.60,R$ 139.96,R$ 219.04
10/2017,6385,415,"R$ 1,190.55",R$ 522.47,"R$ 4,361.51","R$ 6,074.53"
10/2017,6395,259,R$ 142.21,R$ 59.51,R$ 440.69,R$ 642.41
10/2017,6405,230,"R$ 2,371.41","R$ 1,131.41","R$ 7,443.48","R$ 10,946.29"
10/2017,6415,102,R$ 513.67,R$ 221.20,"R$ 1,267.50","R$ 2,002.37"
10/2017,6425,58,R$ 38.77,R$ 15.83,R$ 128.61,R$ 183.21
10/2017,6435,175,R$ 300.84,R$ 112.97,R$ 689.66,"R$ 1,103.46"
10/2017,6445,58,R$ 0.27,R$ 0.13,R$ 0.95,R$ 1.35
10/2017,6455,259,R$ 561.64,R$ 284.20,"R$ 1,882.67","R$ 2,728.51"
10/2017,6465,91,R$ 53.40,R$ 19.86,R$ 197.05,R$ 270.30
10/2017,6475,144,R$ 220.55,R$ 88.77,R$ 675.79,R$ 985.11
10/2017,6485,233,R$ 244.97,R$ 123.97,R$ 903.26,"R$ 1,272.20"
10/2017,6495,182,R$ 41.18,R$ 19.38,R$ 161.26,R$ 221.82
10/2017,6505,345,R$ 401.10,R$ 155.99,"R$ 1,178.39","R$ 1,735.49"
10/2017,6515,225,R$ 133.53,R$ 50.91,R$ 323.64,R$ 508.08
10/2017,6525,498,"R$ 1,175.62",R$ 496.67,"R$ 2,960.09","R$ 4,632.38"
10/2017,6535,175,R$ 368.68,R$ 193.33,R$ 940.68,"R$ 1,502.69"
10/2017,6545,246,"R$ 4,962.38","R$ 2,345.98","R$ 12,232.72","R$ 19,541.09"
10/2017,6555,123,R$ 37.81,R$ 15.44,R$ 98.04,R$ 151.29
10/2017,6565,405,R$ 867.87,R$ 306.51,"R$ 2,530.27","R$ 3,704.65"
10/2017,6575,122,R$ 122.88,R$ 44.08,R$ 444.59,R$ 611.55
10/2017,6585,443,R$ 567.38,R$ 264.56,"R$ 2,026.96","R$ 2,858.90"
10/2017,6595,219,"R$ 4,600.00","R$ 2,135.00","R$ 12,674.21","R$ 19,409.22"
10/2017,6605,221,R$ 635.40,R$ 227.92,"R$ 2,562.56","R$ 3,425.88"
10/2017,6615,175,"R$ 2,106.22",R$ 823.15,"R$ 6,835.21","R$ 9,764.58"
10/2017,6625,222,R$ 703.97,R$ 325.22,"R$ 2,839.95","R$ 3,869.14"
10/2017,6635,58,R$ 69.95,R$ 32.77,R$ 201.18,R$ 303.89
10/2017,6645,153,R$ 444.60,R$ 231.08,"R$ 1,772.44","R$ 2,448.12"
10/2017,6655,144,R$ 109.79,R$ 57.58,R$ 369.09,R$ 536.46
10/2017,6665,117,R$ 323.56,R$ 136.70,"R$ 1,296.47","R$ 1,756.74"
10/2017,6675,246,R$ 727.17,R$ 367.97,"R$ 2,991.19","R$ 4,086.33"
10/2017,6685,163,R$ 373.91,R$ 181.67,"R$ 1,366.83","R$ 1,922.40"
10/2017,6695,101,R$ 197.81,R$ 96.99,R$ 530.99,R$ 825.79
10/2017,6705,58,R$ 21.21,R$ 7.92,R$ 48.77,R$ 77.91
10/2017,6715,259,"R$ 7,611.61","R$ 2,772.58","R$ 23,440.54","R$ 33,824.73"
10/2017,6725,175,R$ 129.30,R$ 48.07,R$ 392.94,R$ 570.30
10/2017,6735,58,R$ 784.37,R$ 282.80,"R$ 1,913.75","R$ 2,980.91"
10/2017,6745,117,R$ 226.46,R$ 101.27,R$ 671.45,R$ 999.18
10/2017,6755,117,R$ 198.65,R$ 98.73,R$ 623.30,R$ 920.69
10/2017,6765,175,R$ 61.16,R$ 22.16,R$ 159.59,R$ 242.92
10/2017,6775,233,R$ 345.78,R$ 128.54,"R$ 1,269.49","R$ 1,743.81"
10/2017,6785,292,R$ 271.61,R$ 126.64,R$ 711.08,"R$ 1,109.34"
10/2017,6795,58,R$ 76.67,R$ 37.59,R$ 198.78,R$ 313.03
10/2017,6805,117,R$ 63.01,R$ 32.03,R$ 256.98,R$ 352.02
10/2017,6815,58,R$ 39.17,R$ 14.13,R$ 149.36,R$ 202.65
10/2017,6825,117,R$ 18.63,R$ 8.14,R$ 75.40,R$ 102.17
10/2017,6845,117,R$ 123.43,R$ 64.45,R$ 401.10,R$ 588.98
10/2017,6855,175,R$ 37.81,R$ 14.19,R$ 119.06,R$ 171.07
10/2017,6865,233,R$ 4.30,R$ 2.08,R$ 11.64,R$ 18.02
10/2017,6875,292,R$ 100.75,R$ 38.22,R$ 393.47,R$ 532.44
10/2017,6885,175,R$ 211.23,R$ 109.31,R$ 582.40,R$ 902.94
10/2017,6895,58,R$ 31.20,R$ 14.82,R$ 123.18,R$ 169.20
10/2017,6905,117,R$ 5.26,R$ 2.06,R$ 17.08,R$ 24.41
10/2017,6915,292,R$ 143.99,R$ 69.33,R$ 425.37,R$ 638.69
10/2017,6925,117,R$ 16.41,R$ 8.53,R$ 67.08,R$ 92.02
10/2017,6935,175,R$ 23.78,R$ 8.70,R$ 73.32,R$ 105.80
10/2017,6945,117,R$ 38.08,R$ 15.70,R$ 160.47,R$ 214.25
10/2017,6955,233,R$ 76.46,R$ 27.00,R$ 183.92,R$ 287.38
10/2017,6965,117,R$ 229.79,R$ 109.63,R$ 759.03,"R$ 1,098.45"
10/2017,6975,58,R$ 16.49,R$ 6.94,R$ 38.71,R$ 62.14
10/2017,6985,117,R$ 136.52,R$ 49.47,R$ 457.55,R$ 643.53
10/2017,7005,117,R$ 323.55,R$ 132.80,"R$ 1,191.12","R$ 1,647.47"
10/2017,7025,58,R$ 1.54,R$ 0.60,R$ 4.51,R$ 6.65
10/2017,7035,58,R$ 0.36,R$ 0.17,R$ 1.33,R$ 1.86
10/2017,7045,292,"R$ 2,314.94",R$ 968.66,"R$ 6,850.96","R$ 10,134.56"
10/2017,7055,233,"R$ 1,533.30",R$ 705.09,"R$ 5,124.73","R$ 7,363.12"
10/2017,7065,117,R$ 64.43,R$ 31.87,R$ 206.54,R$ 302.84
